endpoint_cluster,terminal_id,terminal_name,category,events,rationale
5,T5,Mory / S8,wezel_drogowy,690,"Nazwa 'Mory / S8' odnosi się do węzła drogowego S8 Warszawa Zachód, co potwierdzają pobliskie POI typu motorway_junction."
19,T19,Marki / Głębocka S8,mieszane,568,"Rejon jest zlokalizowany przy węźle S8 Marki, co potwierdzają POI 'Marki' oraz bliskość dużych obiektów handlowych jak M1 Marki i Aldi."
3,T3,Bielany Gwiaździsta,transport_publiczny,467,"Obszar ten jest zlokalizowany przy pętli autobusowej Gwiaździsta w Bielanach, co potwierdzają liczne przystanki i stacja autobusowa."
13,T13,Żoliborz Centrum Olimpijskie,rekreacja,395,"Rejon znajduje się w Żoliborzu przy Centrum Olimpijskim, co potwierdzają pobliskie przystanki o tej samej nazwie oraz bliskość Akademii Koźmińskiego."
21,T21,Koło / Lasek,mieszkaniowa,342,"Nazwa 'Koło / Lasek' odnosi się do osiedla Koło i pobliskiego lasku, co potwierdzają przystanki 'Lasek na Kole' i ogólna zabudowa mieszkalna."
0,T0,Galeria Modlińska / Tarchomin,handel,252,"Rejon jest skoncentrowany wokół Galerii Modlińskiej, co potwierdzają liczne supermarkety (Lidl, Aldi) i stacje paliw w bliskiej odległości."
25,T25,Bemowo / Górczewska,mieszkaniowa,139,"Obszar położony jest w Bemowie przy Osiedlu Górczewska, co potwierdzają liczne przystanki komunikacji miejskiej oraz bliskość stacji metra Bemowo i obiektów handlowych."
12,T12,Żoliborz / Śliwice,mieszkaniowa,133,"Rejon ten znajduje się na granicy Żoliborza i Pragi Północ, w pobliżu przystanków komunikacji miejskiej 'Śliwice' i 'Budzińskiej-Tylickiej', wskazując na charakter mieszkalny z elementami handlu."
29,T29,Metro Marymont / P+R,transport_publiczny,88,"Obszar jest kluczowym węzłem komunikacyjnym 'Metro Marymont', co potwierdzają stacja metra, dworzec autobusowy, parking P+R oraz liczne przystanki tramwajowe i autobusowe."
8,T8,Żerań / Fabryka Pomp,mieszkaniowa,61,"Rejon zlokalizowany w dzielnicy Żerań, nazwany od pobliskich przystanków 'Fabryka Pomp', wskazujących na mieszany charakter z dawną zabudową przemysłową."
23,T23,Powązki / Elbląska,uslugi_zdrowie,57,"Rejon zlokalizowany jest przy Cmentarzu Wojskowym na Powązkach, co potwierdzają przystanki o tej nazwie oraz obecność szpitali Luxmed Onkologia i Wojskowego Instytutu Medycyny Lotniczej."
10,T10,Blizne Jasińskiego,mieszkaniowa,53,"Obszar ten znajduje się w miejscowości Blizne Jasińskiego, na co wskazują przystanki komunikacji miejskiej, oddalony od centrum Warszawy."
28,T28,Żoliborz / Osiedle Potok,mieszkaniowa,53,"Rejon znajduje się w Żoliborzu przy Osiedlu Potok, co potwierdzają przystanki o tej nazwie oraz bliskość węzła drogowego Modlińska i supermarketów."
2,T2,Targówek / Głębocka,handel,52,"Obszar położony jest w Targówku przy ul. Głębockiej, na co wskazują liczne markety (Carrefour, Lidl, Aldi) i centrum handlowe G City Targówek."
6,T6,Targówek Homepark Marki,handel,48,"Rejon zlokalizowany jest w pobliżu centrów handlowych Homepark Targówek, Auchan i M1 Marki, co jednoznacznie wskazuje na dominującą funkcję handlową."
9,T9,Bemowo / Obrońców Tobruku,mieszkaniowa,44,"Obszar położony jest w Bemowie, przy ulicy Obrońców Tobruku, co potwierdzają pobliskie przystanki komunikacji miejskiej, wskazując na dominującą funkcję mieszkalną."
27,T27,Bródno / Metro Bródno,mieszane,43,"Rejon Bródno znajduje się w bezpośrednim sąsiedztwie stacji metra Bródno, co potwierdzają liczne supermarkety, uczelnia i przystanki komunikacji miejskiej."
22,T22,Powązki / Broniewskiego,wezel_drogowy,40,"Rejon zlokalizowany jest przy węźle drogowym Broniewskiego oraz w pobliżu Cmentarza Wojskowego na Powązkach, co potwierdzają pobliskie przystanki i POI."
15,T15,Żoliborz / ChZT,mieszane,39,"Rejon położony jest w Żoliborzu, w pobliżu Chrześcijańskiej Akademii Teologicznej, otoczonej osiedlami mieszkalnymi i lokalnymi supermarketami."
14,T14,Targówek / Bartnicza,handel,38,"Rejon zlokalizowany jest w Targówku przy ul. Bartniczej, co potwierdzają liczne supermarkety (Top Market, Biedronka) i stacja paliw w pobliżu."
20,T20,Bemowo / Dywizjonu 303,mieszkaniowa,37,"Obszar ten znajduje się w Bemowie, wzdłuż ulicy Dywizjonu 303, co potwierdzają liczne przystanki tramwajowe i autobusowe w otoczeniu osiedli mieszkaniowych."
18,T18,Koło / Ks. Bolesława,mieszkaniowa,36,"Rejon zlokalizowany jest w dzielnicy Koło (Wola), przy ulicy Księcia Bolesława, co potwierdzają pobliskie przystanki komunikacji miejskiej oraz supermarket Lidl."
17,T17,Żoliborz Sady Żoliborskie,mieszkaniowa,34,"Obszar położony jest w Żoliborzu, w rejonie Sady Żoliborskie, co potwierdzają liczne przystanki komunikacji miejskiej o tej nazwie oraz obecność supermarketu Carrefour Market."
24,T24,Bemowo / WAT Fort Blizne,edukacja,33,"Rejon znajduje się w Bemowie, bezpośrednio przy Wojskowej Akademii Technicznej oraz Forcie Blizne, co potwierdzają pobliskie przystanki komunikacji miejskiej."
16,T16,Pelcowizna / PKP Toruńska,mieszane,31,"Obszar zlokalizowany w Pelcowiznie przy stacji PKP Toruńska oraz węźle Łabiszyńska, co potwierdzają pobliskie supermarkety i przystanki komunikacji miejskiej."
31,T31,Metro Słodowiec,transport_publiczny,31,"Rejon koncentruje się wokół stacji metra Słodowiec, co potwierdzają liczne wejścia do metra oraz przystanki komunikacji miejskiej."
7,T7,Bemowo / Conrada,mieszkaniowa,30,"Obszar położony jest w Bemowie, wzdłuż ulicy Conrada, co potwierdzają liczne supermarkety (Lidl, Biedronka) i stacje paliw w otoczeniu osiedli."
4,T4,Szeligi / Szeligowska,mieszkaniowa,30,"Rejon zlokalizowany w Szeligach, w pobliżu przystanków komunikacji miejskiej 'Szeligowska-Szkoła', co wskazuje na charakter mieszkalny z punktami użyteczności publicznej."
11,T11,Żerań FSO,transport_publiczny,28,"Obszar koncentruje się wokół dworca autobusowego Żerań FSO, co potwierdzają liczne przystanki komunikacji miejskiej, hotel i uczelnia w pobliżu."
30,T30,Bielany AWF / IMGW,edukacja,28,"Rejon zlokalizowany w Bielanach, w pobliżu Akademii Wychowania Fizycznego (AWF) i IMGW, co potwierdzają nazwy pobliskich przystanków."
1,T1,Lewandów / Pasaż Derby,handel,27,"Rejon zlokalizowany jest w Lewandowie, w pobliżu pasażu handlowego Derby oraz licznych supermarketów (Aldi, Lidl, Czerwona Torebka), co wskazuje na dominującą funkcję handlową."
26,T26,Białołęka / Annopol,mieszane,23,"Obszar położony jest w Białołęce, przy węźle Modlińska i Factory Annopol, co potwierdzają pobliskie supermarkety, stacje paliw i Wyższa Szkoła Bankowa."
